Course Code,Course Name,Section Type,Section,Doctor Name,Doctor ID,Credits,Prerequisite
AIT111,Artificial Intelligence/ENG,Lecture,11B,TBA,TBA,3,none
AIT111,Artificial Intelligence/ENG,Lecture,12B,TBA,TBA,3,none
AIT111,Artificial Intelligence/ENG,Lecture,13B,TBA,TBA,3,none
AIT111,Artificial Intelligence/ENG,Lecture,14B,TBA,TBA,3,none
AIT111,Artificial Intelligence/ARB,Lecture,1B,TBA,TBA,3,none
COM111,IT Fundamentals/ARB,Practical,11F,TBA,TBA,0,none
COM111,IT Fundamentals/ARB,Practical,12M,TBA,TBA,0,none
COM111,IT Fundamentals/ARB,Lecture,1B,TBA,TBA,3,none
DAT100,Introduction to Data Analytics,Lecture,1B,Dr. Salam,5283,3,none
DAT100,Introduction to Data Analytics,Practical,1F,TBA,TBA,0,none
DAT100,Introduction to Data Analytics,Practical,1M,TBA,TBA,0,none
DAT100,Introduction to Data Analytics,Practical,2M,TBA,TBA,0,none
DAT205,Prgraming for Data Analytics I,Lecture,1B,Dr. Salam Fraihat,5283,3,none
DAT205,Prgraming for Data Analytics I,Practical,1F,TBA,TBA,0,none
DAT205,Prgraming for Data Analytics I,Practical,1M,TBA,TBA,0,none
INF212,Int to Information System/ENG,Lecture,11B,TBA,TBA,3,none
INF212,Int to Information System/ARB,Lecture,1B,TBA,TBA,3,none
INT100,Introductory Programming,Lecture,1B,Dr. Mahoud Hammad,6257,3,none
INT100,Introductory Programming,Practical,1F,TBA,TBA,0,none
INT100,Introductory Programming,Practical,1M,TBA,TBA,0,none
INT100,Introductory Programming,Tutorial,B1,TBA,TBA,0,none
INT101,Calculus Information Technol.,Lecture,1B,Dr. Mahmoud AlShboul,5522,3,none
INT101,Calculus Information Technol.,Tutorial,B1,TBA,TBA,0,none
INT103,Infor. Technol. in Business,Lecture,1B,Dr. Mohammed Betar,5131,3,none
INT201,Object Oriented Programming,Lecture,1B,Dr. Mohammed Betar,5131,3,none
INT201,Object Oriented Programming,Practical,1F,TBA,TBA,0,none
INT201,Object Oriented Programming,Practical,1M,TBA,TBA,0,none
INT201,Object Oriented Programming,Tutorial,B1,TBA,TBA,0,none
INT202,Discrete Mathematics,Lecture,1B,Dr. Mahmoud AlShboul,5522,3,none
INT202,Discrete Mathematics,Tutorial,B1,TBA,TBA,0,none
INT205,Fund. of Data Comm.&Network,Lecture,1B,Dr. Atta ur Rehman Khan,5132,3,none
INT205,Fund. of Data Comm.&Network,Practical,1F,TBA,TBA,0,none
INT205,Fund. of Data Comm.&Network,Practical,1M,TBA,TBA,0,none
INT209,Data Structures,Lecture,1B,Dr. Riyadh Mehdi,6091,3,none
INT209,Data Structures,Tutorial,B1,TBA,TBA,0,none
INT300,Database Mgmt. Sytms.,Lecture,1B,Dr. Ghazi AlNaymat,5025,3,none
INT300,Database Mgmt. Sytms.,Practical,1F,TBA,TBA,0,none
INT300,Database Mgmt. Sytms.,Practical,1M,TBA,TBA,0,none
INT300,Database Mgmt. Sytms.,Lecture,2B,Dr. Ghazi AlNaymat,5025,3,none
INT300,Database Mgmt. Sytms.,Practical,B1,TBA,TBA,0,none
INT301,Operating Systems,Lecture,1B,Dr. Usman Butt,6253,3,none
INT301,Operating Systems,Practical,1F,TBA,TBA,0,none
INT301,Operating Systems,Practical,1M,TBA,TBA,0,none
INT302,Database Management Systems,Lecture,1B,Dr. Elfadil Abdalla Mohamed Abdalla,4718,3,none
INT302,Database Management Systems,Practical,1F,TBA,TBA,0,none
INT302,Database Management Systems,Practical,1M,TBA,TBA,0,none
INT302,Database Management Systems,Lecture,2B,Dr. Elfadil Abdalla Mohamed Abdalla,4718,3,none
INT302,Database Management Systems,Practical,B1,TBA,TBA,0,none
INT303,Fund. of Information Security,Lecture,1B,Dr. Usman Butt,6253,3,none
INT305,Fund. of Software Engin.,Lecture,1B,Dr. Shafiz Yusof,5523,3,none
INT311,Advanced Computer Networks,Lecture,1B,Dr. Atta ur Rehman Khan,5132,3,none
INT311,Advanced Computer Networks,Practical,1F,TBA,TBA,0,none
INT311,Advanced Computer Networks,Practical,1M,TBA,TBA,0,none
INT313,User Interface Design,Lecture,1B,Dr. Shafiz Yusof,5523,3,none
INT323,Big Data Analytics and Tech.,Lecture,1B,Dr. Riyadh Mehdi,6091,3,none
INT323,Big Data Analytics and Tech.,Practical,1F,TBA,TBA,0,none
INT323,Big Data Analytics and Tech.,Practical,1M,TBA,TBA,0,none
INT435,Game Programming,Lecture,1B,Dr. Mahoud Hammad,6257,3,none
INT435,Game Programming,Practical,1F,TBA,TBA,0,none
INT435,Game Programming,Practical,1M,TBA,TBA,0,none
