BuildingCode,RoomNumber,RoomDescription,RoomCapacity,RoomType
J2B,C011S,C011S,80,lecture or tutorial
J2F,A022F,A022F,60,lecture or tutorial
J2M,B108M,B108M,75,lecture or tutorial
J2F,C028F,C028F,55,lecture or tutorial
J2M,C112M,C112M,50,lecture or tutorial
J2B,A001S,A001S,80,lecture or tutorial
J2B,C113S,C113S,48,lecture or tutorial
J2B,C030S,C030S,50,lecture or tutorial
J2B,A101S,A101S,80,lecture or tutorial
J2F,C130F,C130F,55,lecture or tutorial
J2M,A003M,A003M,55,lecture or tutorial
J2B,A301S,A301S,66,lecture or tutorial
J2B,C009S,C009S,80,lecture or tutorial
J2F,A122F,A122F,55,lecture or tutorial
J2M,A105M,A105M,58,lecture or tutorial
J2B,B208S,B208S,55,lecture or tutorial
J2B,A020S,A020S,80,lecture or tutorial
J2F,1724,Computer Lab W1,25,lab
J2B,C225S,C225S,75,lecture or tutorial
J2F,1729,Computer Lab W3,25,lab
J2B,A220S,A220S,48,lecture or tutorial
J2F,C027F,C027F,55,lecture or tutorial
J2B,C031S,C031S,48,lecture or tutorial
J2F,A125F,A125F,50,lecture or tutorial
J2B,A120S,A120S,80,lecture or tutorial
J2B,C132S,C132S,80,lecture or tutorial
J2B,A206S,A206S,110,lecture or tutorial
J2B,C111S,C111S,80,lecture or tutorial
J2F,A023F,A023F,55,lecture or tutorial
J2F,A024F,A024F,55,lecture or tutorial
J2F,A124F,A124F,60,lecture or tutorial
J2B,C209S,C209S,55,lecture or tutorial
J2M,A201M,A201M,70,lecture or tutorial
J2B,C114S,C114S,80,lecture or tutorial
J2F,A224F,A224F,50,lecture or tutorial
J2M,A207M,A207M,50,lecture or tutorial
J2M,A205M,A205M,60,lecture or tutorial
J2F,A221F,A221F,55,lecture or tutorial
J2F,A223F,A223F,80,lecture or tutorial
J2M,B204M,B204M,60,lecture or tutorial
J2B,A202S,A202S,48,lecture or tutorial
J2M,A004M,A004M,55,lecture or tutorial
J2B,C032S,C032S,80,lecture or tutorial
J2M,A107M,A107M,60,lecture or tutorial
J2B,A021S,A021S,55,lecture or tutorial
J2F,C029F,C029F,50,lecture or tutorial
J2B,A103S,A103S,80,lecture or tutorial
J2B,B109S,B109S,60,lecture or tutorial
J2B,C131S,C131S,55,lecture or tutorial
J2B,A102S,A102S,60,lecture or tutorial
J2B,A203S,A203S,70,lecture or tutorial
J2B,B006S,B006S,75,lecture or tutorial
J2B,B115S,B115S,35,lecture or tutorial
J2F,1728,Computer Lab W2,25,lab
J2M,1661,Computer Application Lab /J2-Ground Male,25,lab
J2F,1716,Comp. Application Lab/J2(F),25,lab
J2B,B008S,B008S,50,lecture or tutorial
J2F,A123F,A123F,55,lecture or tutorial
J2F,1725,Network Lab W1,25,lab
J2M,1624,Computer Lab M1,25,lab
J2F,1727,Project Lab W1,25,lab
J2B,A002S,A002S,60,lecture or tutorial
J2M,1658,Computer Lab M2,25,lab
J2B,C010S,C010S,37,lecture or tutorial
J2M,1625,Network Lab M1,25,lab
J2M,1628,Computer Lab M3,25,lab
J2B,A121S,A121S,60,lecture or tutorial
J2M,1627,Project Lab M1,25,lab
J2B,C110S,C110S,52,lecture or tutorial
J2F,A126F,A126F,60,lecture or tutorial
J2F,C026F,C026F,50,lecture or tutorial
J2M,A106M,A106M,66,lecture or tutorial
J2F,C031F,C031F,48,lecture or tutorial
